landingPage,accessLevel,bureauCode,issued,@type,modified,keyword,contactPoint,publisher,identifier,description,title,programCode,distribution,theme,temporal,license,accrualPeriodicity,references,spatial,language,describedBy,rights,isPartOf,describedByType,category,data_json_order
https://www.cdc.gov/nchs/nhis/index.htm,public,['009:20'],2021-11-17,dcat:Dataset,2022-08-17,"['nhis', 'summary health statistics']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:cdcinfo@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/25m4-6qqq,Interactive Summary Health Statistics for Adults — 2019-2020 provide annual estimates of selected health topics for adults aged 18 years and over based on final data from the National Health Interview Survey.,NHIS Adult Summary Health Statistics,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/25m4-6qqq/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/25m4-6qqq/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/25m4-6qqq/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/25m4-6qqq/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],2019/2020,https://www.usa.gov/government-works,,,,,,,,,NCHS,2
https://www.cdc.gov/nchs/nhanes/visualization/index.htm,public,['009:20'],2020-12-16,dcat:Dataset,2022-08-08,"['high cholesterol', 'hypertension', 'nhanes', 'obesity']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:cdcinfo@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/28df-2bwy,"This data represents the age-adjusted prevalence of high total cholesterol, hypertension, and obesity among US adults aged 20 and over between 1999-2000 to 2017-2018.


Notes:

* All estimates are age adjusted by the direct method to the U.S. Census 2000 population using age groups 20–39, 40–59, and 60 and over.


Definitions

Hypertension: Systolic blood pressure greater than or equal to 130 mmHg or diastolic blood pressure greater than or equal to 80 mmHg, or currently taking medication to lower high blood pressure

High total cholesterol: Serum total cholesterol greater than or equal to 240 mg/dL.

Obesity: Body mass index (BMI, weight in kilograms divided by height in meters squared) greater than or equal to 30.


Data Source and Methods

Data from the National Health and Nutrition Examination Surveys (NHANES) for the years 1999–2000, 2001–2002, 2003–2004, 2005–2006, 2007–2008, 2009–2010, 2011–2012, 2013–2014, 2015–2016, and 2017–2018 were used for these analyses.

NHANES is a cross-sectional survey designed to monitor the health and nutritional status of the civilian noninstitutionalized U.S. population. The survey consists of interviews conducted in participants’ homes and standardized physical examinations, including a blood draw, conducted in mobile examination centers.","Prevalence of Selected Measures Among Adults Aged 20 and Over: United States, 1999-2000 through 2017-2018",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28df-2bwy/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28df-2bwy/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/28df-2bwy/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/28df-2bwy/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],1999/2018,https://www.usa.gov/government-works,irregular,,,,,,,,NCHS,4
https://www.cdc.gov/nchs/hus,public,['009:20'],2022-07-21,dcat:Dataset,2022-07-21,"['adults', 'american indian or alaska native', 'asian', 'asian or pacific islander', 'black or african american', 'children and adolescents', 'female', 'functional limitation status', 'health insurance', 'health insurance status', 'hispanic or latino', 'male', 'marital status', 'medicaid', 'metropolitan and nonmetropolitan', 'multiple race', 'native hawaiian or other pacific islander', 'poverty status', 'region', 'white']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:healthus@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/2g8y-scu5,"Data on Medicaid coverage among persons under age 65 by selected characteristics, including age, sex, geographic region, poverty level, race, Hispanic origin, marital status, and functional limitation. Data are from Health, United States (https://www.cdc.gov/nchs/hus). 

SOURCE: CDC/NCHS, National Health Interview Survey.","DQS Medicaid coverage among persons under age 65, by selected characteristics: United States",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/2g8y-scu5/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/2g8y-scu5/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2g8y-scu5/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/2g8y-scu5/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2g8y-scu5/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/2g8y-scu5/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2g8y-scu5/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],1984/2017,https://www.usa.gov/government-works,Annual (R/P1Y),,United States,,,,,,NCHS,14
https://www.cdc.gov/nchs/hus,public,['009:20'],2021-06-07,dcat:Dataset,2022-04-27,"['african americans', 'age', 'alaskan natives', 'allergy', 'american natives', 'asian continental ancestry group', 'asthma', 'attention deficit/hyperactivity disorder', 'child', 'continental population groups', 'ear diseases', 'ear infection', 'emotional or behavioral difficulties', 'european continental ancestry group', 'food', 'health', 'health us', 'hispanic americans', 'hypersensitivity', 'insurance', 'medicaid', 'medically uninsured', 'mental health', 'oceanic ancestry group', 'poverty', 'respiratory tract diseases', 'sex', 'skin']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:healthus@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/2m93-xvra,"NOTE: On October 19, 2021, estimates for 2016–2018 by health insurance status were revised to correct errors. Changes are highlighted and tagged at https://www.cdc.gov/nchs/data/hus/2019/012-508.pdf

Data on health conditions among children under age 18, by selected population characteristics. Please refer to the PDF or Excel version of this table in the HUS 2019 Data Finder (https://www.cdc.gov/nchs/hus/contents2019.htm) for critical information about measures, definitions, and changes over time.

SOURCE: NCHS, National Health Interview Survey, Family Core and Sample Child questionnaires.  For more information on the National Health Interview Survey, see the corresponding Appendix entry at https://www.cdc.gov/nchs/data/hus/hus19-appendix-508.pdf.","Health conditions among children under age 18, by selected characteristics: United States",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/2m93-xvra/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/2m93-xvra/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2m93-xvra/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/2m93-xvra/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2m93-xvra/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/2m93-xvra/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2m93-xvra/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],1997/2019,https://www.usa.gov/government-works,R/P1Y,,United States,,,,,,NCHS,17
https://www.cdc.gov/nchs/nvss/index.htm,public,['009:20'],2021-06-15,dcat:Dataset,2022-03-28,"['age', 'age group', 'cancer', 'deaths', 'hispanic origin', 'monthly', 'mortality', 'nchs', 'nvss', 'provisional', 'race', 'sex', 'united states']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:cdcinfo@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/2na8-fe6s,"Provisional death counts of malignant neoplasms (cancer) by month and year, and other selected demographics, for 2020-2021. Data are based on death certificates for U.S. residents.","AH Provisional Cancer Death Counts by Month and Year, 2020-2021",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/2na8-fe6s/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/2na8-fe6s/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2na8-fe6s/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/2na8-fe6s/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2na8-fe6s/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/2na8-fe6s/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/2na8-fe6s/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],,https://www.usa.gov/government-works,irregular,,,,,,,,NCHS,18
https://www.cdc.gov/nchs/covid19/covid-19-mortality-data-files.htm,public,['009:20'],2020-08-07,dcat:Dataset,2022-09-28,"['age', 'all causes', 'children', 'coronavirus', 'covid-19', 'deaths', 'mortality', 'nchs', 'nvss', 'provisional', 'sex', 'united states']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:cdcinfo@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/3apk-4u4f,"Cumulative deaths involving coronavirus disease 2019 (COVID-19) reported to NCHS by sex and age in years, in the United States.","Provisional COVID-19 Death Counts by Age in Years, 2020-2022",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/3apk-4u4f/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/3apk-4u4f/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3apk-4u4f/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/3apk-4u4f/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3apk-4u4f/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/3apk-4u4f/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3apk-4u4f/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],2020-01-01/2022-03-28,https://www.usa.gov/government-works,R/P1W,,United States,,,,,,NCHS,31
https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm,public,['009:20'],2018-02-07,dcat:Dataset,2022-04-08,"['county teen birth trends', 'county trends on teen births', 'nchs', 'teen births', 'united states', 'u.s. teen birth rate']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:births@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/3h58-x6cd,"This data set contains estimated teen birth rates for age group 15–19 (expressed per 1,000 females aged 15–19) by county and year.

DEFINITIONS

Estimated teen birth rate: Model-based estimates of teen birth rates for age group 15–19 (expressed per 1,000 females aged 15–19) for a specific county and year. Estimated county teen birth rates were obtained using the methods described elsewhere (1,2,3,4). These annual county-level teen birth estimates “borrow strength” across counties and years to generate accurate estimates where data are sparse due to small population size (1,2,3,4). The inferential method uses information—including the estimated teen birth rates from neighboring counties across years and the associated explanatory variables—to provide a stable estimate of the county teen birth rate.
Median teen birth rate: The middle value of the estimated teen birth rates for the age group 15–19 for counties in a state.
Bayesian credible intervals: A range of values within which there is a 95% probability that the actual teen birth rate will fall, based on the observed teen births data and the model.

NOTES

Data on the number of live births for women aged 15–19 years were extracted from the National Center for Health Statistics’ (NCHS) National Vital Statistics System birth data files for 2003–2015 (5).

Population estimates were extracted from the files containing intercensal and postcensal bridged-race population estimates provided by NCHS. For each year, the July population estimates were used, with the exception of the year of the decennial census, 2010, for which the April estimates were used.

Hierarchical Bayesian space–time models were used to generate hierarchical Bayesian estimates of county teen birth rates for each year during 2003–2015 (1,2,3,4).

The Bayesian analogue of the frequentist confidence interval is defined as the Bayesian credible interval. A 100*(1-α)% Bayesian credible interval for an unknown parameter vector θ and observed data vector y is a subset C of parameter space Ф such that
1-α≤P({C│y})=∫p{θ │y}dθ,
where integration is performed over the set  and is replaced by summation for discrete components of θ.  The probability that θ lies in C given the observed data y is at least (1- α) (6).

County borders in Alaska changed, and new counties were formed and others were merged, during 2003–2015. These changes were reflected in the population files but not in the natality files. For this reason, two counties in Alaska were collapsed so that the birth and population counts were comparable. Additionally, Kalawao County, a remote island county in Hawaii, recorded no births, and census estimates indicated a denominator of 0 (i.e., no females between the ages of 15 and 19 years residing in the county from 2003 through 2015). For this reason, Kalawao County was removed from the analysis. Also , Bedford City, Virginia, was added to Bedford County in 2015 and no longer appears in the mortality file in 2015. For consistency, Bedford City was merged with Bedford County, Virginia, for the entire 2003–2015 period. Final analysis was conducted on 3,137 counties for each year from 2003 through 2015. County boundaries are consistent with the vintage 2005–2007 bridged-race population file geographies (7).",NCHS - Teen Birth Rates for Age Group 15-19 in the United States by County,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/3h58-x6cd/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/3h58-x6cd/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3h58-x6cd/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/3h58-x6cd/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3h58-x6cd/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/3h58-x6cd/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3h58-x6cd/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],2003/2018,https://www.usa.gov/government-works,,"['http://www.cdc.gov/nchs/nvss/dvs_data_release.htm', 'https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm', 'https://www.cdc.gov/nchs/nvss/bridged_race.htm', 'http://onlinelibrary.wiley.com/doi/10.1111/rssa.12266/abstract', 'http://www.sciencedirect.com/science/article/pii/S1877584516300442', 'https://www.cdc.gov/nchs/data/nvsr/nvsr66/nvsr66_01.pdf', 'http://www.cdc.gov/nchs/data/nvss/bridged_race/County_Geography_Changes.pdf']",50 states and District of Columbia,['English'],https://www.cdc.gov/nchs/data_access/vitalstatsonline.htm,public,NCHS - Teen Birth Rates for Age Group 15-19 in the United States by County,,NCHS,35
https://www.cdc.gov/nchs/covid19/npals.htm,public,['009:20'],2021-07-12,dcat:Dataset,2022-09-12,"['adult day services centers', 'covid-19', 'long-term care', 'residential care communities']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:cdcinfo@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/3j26-kg6d,"The NCHS National Post-acute and Long-term Care Study (NPALS) collects data on long-term care every two years for all 50 states and the District of Columbia to monitor the diverse post-acute and long-term care fields. The 2020 survey provided an opportunity to collect COVID-19-related data for residential care communities and adult day services centers, important long-term care settings. These data are not available from other data systems. These data are related to experiences of COVID-19 from January 2020 through mid-July 2021, including the number of COVID-19 cases, hospitalizations, and deaths among users and staff, practices taken to reduce COVID-19 exposure and transmission, and personal protective equipment (PPE) shortages.",Long-term Care and COVID-19,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/3j26-kg6d/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/3j26-kg6d/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3j26-kg6d/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/3j26-kg6d/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3j26-kg6d/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/3j26-kg6d/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3j26-kg6d/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],2020-01/2021-07,https://www.usa.gov/government-works,irregular,,US,['en-US'],,,,,NCHS,37
https://www.cdc.gov/nchs/hus,public,['009:20'],2022-04-28,dcat:Dataset,2022-04-28,"['adult', 'african americans', 'age', 'asian continental ancestry group', 'chronic conditions', 'continental population groups', 'european continental ancestry group', 'health risk factors', 'health us', 'hispanic americans', 'obesity', 'overweight', 'poverty', 'sex']","{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:healthus@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/3nzu-udr9,"Data on normal weight, overweight, and obesity among adults aged 20 and over by selected population characteristics. Please refer to the PDF or Excel version of this table in the HUS 2019 Data Finder (https://www.cdc.gov/nchs/hus/contents2019.htm) for critical information about measures, definitions, and changes over time. 

SOURCE: NCHS, National Health and Nutrition Examination Survey. For more information on the National Health and Nutrition Examination Survey, see the corresponding Appendix entry at https://www.cdc.gov/nchs/data/hus/hus19-appendix-508.pdf.","Normal weight, overweight, and obesity among adults aged 20 and over, by selected characteristics: United States",['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/3nzu-udr9/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/3nzu-udr9/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3nzu-udr9/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/3nzu-udr9/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3nzu-udr9/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/3nzu-udr9/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3nzu-udr9/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],1988/2019,https://www.usa.gov/government-works,R/P1Y,,,,,,,,NCHS,43
https://www.cdc.gov/nchs/healthy_people/hp2020/population-groups.htm,public,['009:20'],2021-09-14,dcat:Dataset,2022-05-04,['healthy people 2020'],"{'@type': 'vcard:Contact', 'fn': 'National Center for Health Statistics', 'hasEmail': 'mailto:cdcinfo@cdc.gov'}","{'@type': 'org:Organization', 'name': 'National Center for Health Statistics'}",https://data.cdc.gov/api/views/3q3z-9ucr,"[1] The Progress by Population Group analysis is a component of the Healthy People 2020 (HP2020) Final Review. The analysis included subsets of the 1,111 measurable HP2020 objectives that have data available for any of six broad population characteristics: sex, race and ethnicity, educational attainment, family income, disability status, and geographic location. Progress toward meeting HP2020 targets is presented for up to 24 population groups within these characteristics, based on objective data aggregated across HP2020 topic areas. The Progress by Population Group data are also available at the individual objective level in the downloadable data set. 
[2] The final value was generally based on data available on the HP2020 website as of January 2020. For objectives that are continuing into HP2030, more recent data will be included on the HP2030 website as it becomes available: https://health.gov/healthypeople.
[3] For more information on the HP2020 methodology for measuring progress toward target attainment and the elimination of health disparities, see: Healthy People Statistical Notes, no 27; available from: https://www.cdc.gov/nchs/data/statnt/statnt27.pdf.
[4] Status for objectives included in the HP2020 Progress by Population Group analysis was determined using the baseline, final, and target value. The progress status categories used in HP2020 were:

a. Target met or exceeded—One of the following applies: (i) At baseline, the target was not met or exceeded, and the most recent value was equal to or exceeded the target (the percentage of targeted change achieved was equal to or greater than 100%); (ii) The baseline and most recent values were equal to or exceeded the target (the percentage of targeted change achieved was not assessed). 

b. Improved—One of the following applies: (i) Movement was toward the target, standard errors were available, and the percentage of targeted change achieved was statistically significant; (ii) Movement was toward the target, standard errors were not available, and the objective had achieved 10% or more of the targeted change.

c. Little or no detectable change—One of the following applies: (i) Movement was toward the target, standard errors were available, and the percentage of targeted change achieved was not statistically significant; (ii) Movement was toward the target, standard errors were not available, and the objective had achieved less than 10% of the targeted change; (iii) Movement was away from the baseline and target, standard errors were available, and the percent change relative to the baseline was not statistically significant; (iv) Movement was away from the baseline and target, standard errors were not available, and the objective had moved less than 10% relative to the baseline; (v) No change was observed between the baseline and the final data point.

d. Got worse—One of the following applies: (i) Movement was away from the baseline and target, standard errors were available, and the percent change relative to the baseline was statistically significant; (ii) Movement was away from the baseline and target, standard errors were not available, and the objective had moved 10% or more relative to the baseline.

NOTE: Measurable objectives had baseline data.
SOURCE: National Center for Health Statistics, Healthy People 2020 Progress by Population Group database.",Healthy People 2020 Final Progress by Population Group Chart and Table,['009:020'],"[{'@type': 'dcat:Distribution', 'downloadURL': 'https://data.cdc.gov/api/views/3q3z-9ucr/rows.csv?accessType=DOWNLOAD', 'mediaType': 'text/csv'}, {'mediaType': 'application/rdf+xml', 'downloadURL': 'https://data.cdc.gov/api/views/3q3z-9ucr/rows.rdf?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3q3z-9ucr/columns.rdf', 'describedByType': 'application/rdf+xml', '@type': 'dcat:Distribution'}, {'mediaType': 'application/json', 'downloadURL': 'https://data.cdc.gov/api/views/3q3z-9ucr/rows.json?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3q3z-9ucr/columns.json', 'describedByType': 'application/json', '@type': 'dcat:Distribution'}, {'mediaType': 'application/xml', 'downloadURL': 'https://data.cdc.gov/api/views/3q3z-9ucr/rows.xml?accessType=DOWNLOAD', 'describedBy': 'https://data.cdc.gov/api/views/3q3z-9ucr/columns.xml', 'describedByType': 'application/xml', '@type': 'dcat:Distribution'}]",['NCHS'],2002-01-01/2018-12-31,https://www.usa.gov/government-works,irregular,,US,['en-US'],,,,,NCHS,45
